after,checkout,dairy,drinks,entrance,fruit,spices
checkout,1.0,0.10296772737531032,0.2163724579333127,0.0,0.2017689331122167,0.15046370322993285
dairy,0.0,0.7375874520424284,0.010942500258077836,0.2866388027504382,0.09547500592276711,0.1934761752478414
drinks,0.0,0.05833897540058677,0.5985341178899556,0.15356613185924228,0.054963278843875855,0.16309561880396548
fruit,0.0,0.04981945384788987,0.08743677093011253,0.3780504247000135,0.5970938956013583,0.0908218740006396
spices,0.0,0.0512863913337847,0.08671415298854135,0.18174464069030605,0.05069888651978204,0.40214262871762074
entrance,0.0,0.0,0.0,0.0,0.0,0.0
